"","Site","Date","chloride","Cond","Volume","Receiving","address","location","NaCl","estimated_cl","year","latitude","longitude","geometry"
"51","2502 Crossroads Dr",2013-01-09,167.3912,962,NA,"Starkweather Creek","2502 Crossroads Dr Madison, WI","indoor",NA,"y",2013,43.133453,-89.2907,c(-89.2907, 43.133453)
"52","2502 Crossroads Dr",2010-02-08,225.326,1160,NA,"Starkweather Creek","2502 Crossroads Dr Madison, WI","indoor",NA,"y",2010,43.133453,-89.2907,c(-89.2907, 43.133453)
"53","2502 Crossroads Dr",2016-02-23,245.808,1230,NA,"Starkweather Creek","2502 Crossroads Dr Madison, WI","indoor",NA,"y",2016,43.133453,-89.2907,c(-89.2907, 43.133453)
"54","2502 Crossroads Dr",2018-01-18,421.368,1830,NA,"Starkweather Creek","2502 Crossroads Dr Madison, WI","indoor",NA,"y",2018,43.133453,-89.2907,c(-89.2907, 43.133453)
"55","2502 Crossroads Dr",2014-01-21,462.332,1970,NA,"Starkweather Creek","2502 Crossroads Dr Madison, WI","indoor",NA,"y",2014,43.133453,-89.2907,c(-89.2907, 43.133453)
"56","2502 Crossroads Dr",2019-01-22,588.15,2400,NA,"Starkweather Creek","2502 Crossroads Dr Madison, WI","indoor",NA,"y",2019,43.133453,-89.2907,c(-89.2907, 43.133453)
"57","3301 City View Dr",2010-06-10,210.696,1110,NA,"Starkweather Creek","3301 City View Dr Madison, WI","indoor",NA,"y",2010,43.138073,-89.28842,c(-89.28842, 43.138073)
"58","22 S Carroll St",2018-01-24,301.402,1420,NA,"Monona","22 S Carroll St Madison, WI","indoor",NA,"y",2018,43.07371,-89.38502,c(-89.38502, 43.07371)
"59","3550 Anderson St",2011-06-27,219.474,1140,NA,"Starkweather Creek","3550 Anderson St Madison, WI","indoor",NA,"y",2011,43.12023,-89.32756,c(-89.32756, 43.12023)
"60","3550 Anderson St",2014-02-04,324.81,1500,NA,"Starkweather Creek","3550 Anderson St Madison, WI","indoor",NA,"y",2014,43.12023,-89.32756,c(-89.32756, 43.12023)
"61","3550 Anderson St",2019-01-16,471.11,2000,NA,"Starkweather Creek","3550 Anderson St Madison, WI","indoor",NA,"y",2019,43.12023,-89.32756,c(-89.32756, 43.12023)
"62","3841 E Washington Ave",2019-01-16,1126.534,4240,NA,"Starkweather Creek","3841 E Washington Ave Madison, WI","indoor",NA,"y",2019,43.11661,-89.32502,c(-89.32502, 43.11661)
"63","22 S Carroll St",2017-01-12,867,3070,NA,"Monona","22 S Carroll St Madison, WI","indoor",NA,NA,2017,43.07371,-89.38502,c(-89.38502, 43.07371)
"64","4402 E Washington Ave",2018-01-18,142.2276,876,NA,"Starkweather Creek","4402 E Washington Ave Madison, WI","indoor",NA,"y",2018,43.12664,-89.31022,c(-89.31022, 43.12664)
"65","4801 Annamark Dr",2013-02-11,118.2344,794,NA,"Starkweather Creek","4801 Annamark Dr Madison, WI","indoor",NA,"y",2013,43.131306,-89.299614,c(-89.299614, 43.131306)
"66","13 Cherokee Cir",2010-06-11,111.5046,771,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,"y",2010,43.146015,-89.3637,c(-89.3637, 43.146015)
"67","13 Cherokee Cir",2011-06-16,184.362,1020,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,"y",2011,43.146015,-89.3637,c(-89.3637, 43.146015)
"68","13 Cherokee Cir",2013-07-11,201.918,1080,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,"y",2013,43.146015,-89.3637,c(-89.3637, 43.146015)
"69","13 Cherokee Cir",2018-08-02,711.042,2820,NA,"Cherokee Marsh","13 Cherokee Cir Madison, WI","outdoor",NA,"y",2018,43.146015,-89.3637,c(-89.3637, 43.146015)
"70","1436 Wheeler Rd",2010-06-11,213.622,1120,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,"y",2010,43.148304,-89.36969,c(-89.36969, 43.148304)
"71","1436 Wheeler Rd",2013-07-11,251.66,1250,NA,"Cherokee Marsh","1436 Wheeler Rd Madison, WI","outdoor",NA,"y",2013,43.148304,-89.36969,c(-89.36969, 43.148304)
"72","22 S Carroll St",2019-03-07,941,3940,NA,"Monona","22 S Carroll St Madison, WI","indoor",NA,NA,2019,43.07371,-89.38502,c(-89.38502, 43.07371)
"73","1515 Golf View Rd",2010-06-11,187.288,1030,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,"y",2010,43.149498,-89.3666,c(-89.3666, 43.149498)
"74","1515 Golf View Rd",2013-07-11,222.4,1150,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,"y",2013,43.149498,-89.3666,c(-89.3666, 43.149498)
"75","1515 Golf View Rd",2011-06-16,239.956,1210,NA,"Cherokee Marsh","1515 Golf View Rd Madison, WI","outdoor",NA,"y",2011,43.149498,-89.3666,c(-89.3666, 43.149498)
"76","4801 Annamark Dr",2018-01-18,389.182,1720,NA,"Starkweather Creek","4801 Annamark Dr Madison, WI","indoor",NA,"y",2018,43.131306,-89.299614,c(-89.299614, 43.131306)
"77","4801 Annamark Dr",2010-02-08,430.146,1860,NA,"Starkweather Creek","4801 Annamark Dr Madison, WI","indoor",NA,"y",2010,43.131306,-89.299614,c(-89.299614, 43.131306)
"78","1608 N Thompson Dr",2008-07-17,690.7,2424,NA,"Starkweather Creek","1608 N Thompson Dr Madison, WI","indoor",NA,NA,2008,43.1195027100755,-89.2996334936008,c(-89.2996334936008, 43.1195027100755)
"79","401 N Thompson Dr",2010-06-10,171.4876,976,NA,"Starkweather Creek","401 N Thompson Dr Madison, WI","outdoor",NA,"y",2010,43.10336,-89.29745,c(-89.29745, 43.10336)
"80","401 N Thompson Dr",2011-06-16,172.9506,981,NA,"Starkweather Creek","401 N Thompson Dr Madison, WI","outdoor",NA,"y",2011,43.10336,-89.29745,c(-89.29745, 43.10336)
"81","401 N Thompson Dr",2009-07-22,187.288,1030,NA,"Starkweather Creek","401 N Thompson Dr Madison, WI","outdoor",NA,"y",2009,43.10336,-89.29745,c(-89.29745, 43.10336)
"82","401 N Thompson Dr",2014-07-23,216.548,1130,NA,"Starkweather Creek","401 N Thompson Dr Madison, WI","outdoor",NA,"y",2014,43.10336,-89.29745,c(-89.29745, 43.10336)
"83","401 N Thompson Dr",2010-07-06,228.252,1170,NA,"Starkweather Creek","401 N Thompson Dr Madison, WI","outdoor",NA,"y",2010,43.10336,-89.29745,c(-89.29745, 43.10336)
"84","401 N Thompson Dr",2018-08-02,228.252,1170,NA,"Starkweather Creek","401 N Thompson Dr Madison, WI","outdoor",NA,"y",2018,43.10336,-89.29745,c(-89.29745, 43.10336)
"85","5109 W Terrace Dr",2013-01-09,324.81,1500,NA,"Starkweather Creek","5109 W Terrace Dr Madison, WI","indoor",NA,"y",2013,43.142906,-89.29551,c(-89.29551, 43.142906)
"86","5109 W Terrace Dr",2019-03-18,643.744,2590,NA,"Starkweather Creek","5109 W Terrace Dr Madison, WI","indoor",NA,"y",2019,43.142906,-89.29551,c(-89.29551, 43.142906)
"87","5109 W Terrace Dr",2015-01-12,383,3070,NA,"Starkweather Creek","5109 W Terrace Dr Madison, WI","indoor",NA,NA,2015,43.142906,-89.29551,c(-89.29551, 43.142906)
"88","5109 W Terrace Dr",2010-02-10,453,3180,NA,"Starkweather Creek","5109 W Terrace Dr Madison, WI","indoor",NA,NA,2010,43.142906,-89.29551,c(-89.29551, 43.142906)
"89","22 S Carroll St",2014-02-04,994,3860,NA,"Monona","22 S Carroll St Madison, WI","indoor",NA,NA,2014,43.07371,-89.38502,c(-89.38502, 43.07371)
"90","22 S Carroll St",2012-02-27,1030,3920,NA,"Monona","22 S Carroll St Madison, WI","indoor",NA,NA,2012,43.07371,-89.38502,c(-89.38502, 43.07371)
"91","1614 Fordem Ave",2004-07-06,117,756,NA,"Yahara River","1614 Fordem Ave Madison, WI","outdoor",NA,NA,2004,43.093784,-89.36364,c(-89.36364, 43.093784)
"92","1766 Fordem Ave",2006-07-25,55.02,919,NA,"Yahara River","1766 Fordem Ave Madison, WI","outdoor",NA,NA,2006,43.095047,-89.363495,c(-89.363495, 43.095047)
"93","1766 Fordem Ave",2009-06-24,338,2770,NA,"Yahara River","1766 Fordem Ave Madison, WI","outdoor",NA,NA,2009,43.095047,-89.363495,c(-89.363495, 43.095047)
"94","1766 Fordem Ave",2009-07-22,184.362,1020,NA,"Yahara River","1766 Fordem Ave Madison, WI","outdoor",NA,"y",2009,43.095047,-89.363495,c(-89.363495, 43.095047)
"95","1720 Fordem Ave",2010-07-13,47.3,782,NA,"Yahara River","1720 Fordem Ave Madison, WI","outdoor",NA,NA,2010,43.094734,-89.363525,c(-89.363525, 43.094734)
