Site,Date,chloride,Cond,Volume,Receiving,address,location,NaCl,estimated_cl,year,latitude,longitude
1 N Yellowstone Dr m,2007-06-26T00:00:00Z,503.5,1804,NA,Spring Harbor,"1 N Yellowstone Dr m Madison, WI",outdoor,NA,NA,2007,43.064796,-89.49341
1 N Yellowstone Dr m,2008-07-28T00:00:00Z,275.5,1497,NA,Spring Harbor,"1 N Yellowstone Dr m Madison, WI",outdoor,NA,NA,2008,43.064796,-89.49341
1 N Yellowstone Dr d,2009-07-02T00:00:00Z,387,1980,NA,Spring Harbor,"1 N Yellowstone Dr d Madison, WI",outdoor,NA,NA,2009,43.064796,-89.49341
1 N Yellowstone Dr m,2009-07-02T00:00:00Z,395,1970,NA,Spring Harbor,"1 N Yellowstone Dr m Madison, WI",outdoor,NA,NA,2009,43.064796,-89.49341
1 W Dayton St,2018-01-24T00:00:00Z,136.08300000000003,855,NA,Mendota,"1 W Dayton St Madison, WI",indoor,NA,y,2018,43.075765677757296,-89.38656213724711
1 W Dayton St,2013-01-17T00:00:00Z,164.17260000000002,951,NA,Mendota,"1 W Dayton St Madison, WI",indoor,NA,y,2013,43.075765677757296,-89.38656213724711
1 W Dayton St,2016-03-02T00:00:00Z,277.994,1340,NA,Mendota,"1 W Dayton St Madison, WI",indoor,NA,y,2016,43.075765677757296,-89.38656213724711
1602 W Beltline Hwy,2016-02-24T00:00:00Z,354.07000000000005,1600,NA,Arboretum,"1602 W Beltline Hwy Madison, WI",indoor,NA,y,2016,43.03578,-89.409167
1602 W Beltline Hwy,2017-01-04T00:00:00Z,377.47800000000007,1680,NA,Arboretum,"1602 W Beltline Hwy Madison, WI",indoor,NA,y,2017,43.03578,-89.409167
1602 W Beltline Hwy,2018-01-24T00:00:00Z,395.034,1740,NA,Arboretum,"1602 W Beltline Hwy Madison, WI",indoor,NA,y,2018,43.03578,-89.409167
1726 Eagen Rd,2015-01-13T00:00:00Z,397.96000000000004,1750,NA,Starkweather Creek,"1726 Eagen Rd Madison, WI",indoor,NA,y,2015,43.12484,-89.30882
1726 Eagen Rd,2017-01-03T00:00:00Z,433.072,1870,NA,Starkweather Creek,"1726 Eagen Rd Madison, WI",indoor,NA,y,2017,43.12484,-89.30882
107 Village Green Ln,2010-06-10T00:00:00Z,170.02460000000005,971,NA,Starkweather Creek,"107 Village Green Ln Madison, WI",outdoor,NA,y,2010,43.1421205834845,-89.30498336527383
107 Village Green Ln,2014-07-09T00:00:00Z,237.03,1200,NA,Starkweather Creek,"107 Village Green Ln Madison, WI",outdoor,NA,y,2014,43.1421205834845,-89.30498336527383
107 Village Green Ln,2011-06-16T00:00:00Z,257.51200000000006,1270,NA,Starkweather Creek,"107 Village Green Ln Madison, WI",outdoor,NA,y,2011,43.1421205834845,-89.30498336527383
107 Village Green Ln,2013-07-23T00:00:00Z,266.2900000000001,1300,NA,Starkweather Creek,"107 Village Green Ln Madison, WI",outdoor,NA,y,2013,43.1421205834845,-89.30498336527383
107 Village Green Ln,2018-08-02T00:00:00Z,327.736,1510,NA,Starkweather Creek,"107 Village Green Ln Madison, WI",outdoor,NA,y,2018,43.1421205834845,-89.30498336527383
1 W Dayton St,2019-02-28T00:00:00Z,258,1410,NA,Mendota,"1 W Dayton St Madison, WI",indoor,NA,NA,2019,43.075765677757296,-89.38656213724711
1726 Eagen Rd,2019-01-16T00:00:00Z,506.222,2120,NA,Starkweather Creek,"1726 Eagen Rd Madison, WI",indoor,NA,y,2019,43.12484,-89.30882
1754 Thierer Rd,2011-01-06T00:00:00Z,190.21400000000003,1040,NA,Starkweather Creek,"1754 Thierer Rd Madison, WI",indoor,NA,y,2011,43.12301,-89.31347
1754 Thierer Rd,2014-01-21T00:00:00Z,263.36400000000003,1290,NA,Starkweather Creek,"1754 Thierer Rd Madison, WI",indoor,NA,y,2014,43.12301,-89.31347
1754 Thierer Rd,2013-01-23T00:00:00Z,283.846,1360,NA,Starkweather Creek,"1754 Thierer Rd Madison, WI",indoor,NA,y,2013,43.12301,-89.31347
1754 Thierer Rd,2018-01-18T00:00:00Z,336.514,1540,NA,Starkweather Creek,"1754 Thierer Rd Madison, WI",indoor,NA,y,2018,43.12301,-89.31347
1754 Thierer Rd,2019-01-16T00:00:00Z,491.592,2070,NA,Starkweather Creek,"1754 Thierer Rd Madison, WI",indoor,NA,y,2019,43.12301,-89.31347
2130 University Ave,2013-01-16T00:00:00Z,204.84400000000002,1090,NA,University Bay Creek,"2130 University Ave Madison, WI",indoor,NA,y,2013,43.072582,-89.422806
2130 University Ave,2010-02-18T00:00:00Z,245.80800000000002,1230,NA,University Bay Creek,"2130 University Ave Madison, WI",indoor,NA,y,2010,43.072582,-89.422806
1440 Monroe St,2011-01-06T00:00:00Z,210.696,1110,NA,Monona Bay,"1440 Monroe St Madison, WI",outdoor,NA,y,2011,43.06803,-89.41244
22 S Carroll St,2013-01-17T00:00:00Z,219.47400000000002,1140,NA,Monona,"22 S Carroll St Madison, WI",indoor,NA,y,2013,NA,NA
22 S Carroll St,2015-01-15T00:00:00Z,231.17800000000003,1180,NA,Monona,"22 S Carroll St Madison, WI",indoor,NA,y,2015,NA,NA
2302 University Ave,2004-08-25T00:00:00Z,641.7,2260,NA,University Bay Creek,"2302 University Ave Madison, WI",indoor,NA,NA,2004,43.072296,-89.425766
2502 Crossroads Dr,2011-01-10T00:00:00Z,155.3946,921,NA,Starkweather Creek,"2502 Crossroads Dr Madison, WI",indoor,NA,y,2011,43.133453,-89.2907
1 W Dayton St,2014-02-06T00:00:00Z,341,1690,NA,Mendota,"1 W Dayton St Madison, WI",indoor,NA,NA,2014,43.075765677757296,-89.38656213724711
1 W Dayton St,2012-02-27T00:00:00Z,388,1760,NA,Mendota,"1 W Dayton St Madison, WI",indoor,NA,NA,2012,43.075765677757296,-89.38656213724711
